CNN_classlist,Diatom,pennatediatom,Dinoflagellate,Coccolithophore,Ciliate,flagellate,Nano,Other_phyto,OtherLive,OtherNotAlive,IFCBArtifact,Diatom_noDetritus,Detritus,protist_tricho,metazoan
detritus_theca_fragment,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
seta,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
Tripos_balechii,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Pseliodinium,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Chaetoceros_tenuissimus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Cylindrotheca_min,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Eucampia_morphytype1,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_delicatula_TAG_Amphidinium_grazing,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Hemiaulus_membranaceus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate_Pseudo-nitzschia,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate_Thalassionema,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
shellfish_larvae,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,1
Asterionellopsis_glacialis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Asteromphalus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacillaria,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacillariophyceae,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacteriastrum,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Biddulphia,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Cerataulina_pelagica,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_curvusetus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_danicus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_debilis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_didymus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_didymus_TAG_external_flagellate,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_peruvianis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_similis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_socialis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_subtilis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_TAG_external_pennate,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_throndsenii,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Corethron_hystrix,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Coscinodiscus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Cylindrotheca,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Dactyliosolen_blavyanus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Dactyliosolen_fragilissimus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Delphineis,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Ditylum_brightwellii,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Ephemera,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Eucampia,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_delicatula,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_delicatula_TAG_external_parasite,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_delicatula_TAG_internal_parasite,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_flaccida,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_striata,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Hemiaulus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Lauderia_annulata,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Leptocylindrus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Leptocylindrus_mediterraneus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Licmophora,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
mix_elongated,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Nanoneis,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Odontella,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Paralia_sulcata,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate_morphotype1,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Pleurosigma,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Pseudo-nitzschia,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Rhizosolenia,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Skeletonema,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
square_unknown,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Stephanopyxis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Striatella,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Thalassionema,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Thalassiosira,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Thalassiosira_rotula,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Thalassiosira_sp_aff_mala,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Thalassiosira_TAG_external_detritus,1,0,0,0,0,0,0,NaN,0,0,0,0,1,1,0
Akashiwo,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella_TAG_chain,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella_TAG_dividing,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella_TAG_doublet,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella_TAG_fusing,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Alexandrium_catenella_TAG_infected,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Amphidinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Amylax,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Asterodinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Ceratium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Ceratium_furca,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Ceratium_fusus,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Ceratium_lineatum,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophyceae,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophyceae_morphotype_1,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophyceae_morphotype_2,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_acuminata,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_acuminata_TAG_bleb,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_acuminata_TAG_dividing,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_acuminata_TAG_mating,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_norvegica,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Dinophysis_tripos,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Gonyaulax,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Gymnodinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Gyrodinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Heterocapsa_rotundata,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Heterocapsa_triquetra,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Heterocapsa_triquetra_singlet_plan,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Heterocapsa_triquetra_singlet_section,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Heterocapsa_triquetra_TAG_doublet,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Karenia,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Karenia_brevis,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Karenia_brevis_TAG_dividing,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Karenia_brevis_TAG_stress,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Karenia_mikimotoi,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Katodinium_or_Torodinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Lingulodinium_polyedrum,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Margalefidinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Margalefidinium_TAG_chain,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Margalefidinium_TAG_doublet,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Oxyrrhis,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Oxytoxum,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Podolampas,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Polykrikos,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Pronoctiluca,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Prorocentrum,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Prorocentrum_micans,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Prorocentrum_triestinum,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Proterythropsis,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Protoperidinium,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Scrippsiella,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
unknown3_squiggle,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Warnowia,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Acanthoica_quattrospina,0,NaN,0,1,0,0,1,NaN,0,0,0,0,0,1,0
amoeba,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
Apedinella,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
bad,0,NaN,0,0,0,0,0,NaN,0,0,1,0,0,0,0
Balanion,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
bead,0,NaN,0,0,0,0,0,NaN,0,0,1,0,0,0,0
bubble,0,NaN,0,0,0,0,0,NaN,0,0,1,0,0,0,0
Calciopappus,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
Calciosolenia_brasiliensis,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
camera_spot,0,NaN,0,0,0,0,0,NaN,0,0,1,0,0,0,0
Chroomonas,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Chrysochromulina,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Chrysochromulina_lanceolata,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
ciliate,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
coccolithophorid,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
colony,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Corymbellus,0,NaN,0,0,0,1,0,NaN,0,0,0,0,0,1,0
crescent,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
cryptophyta,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
detritus,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
detritus_clear,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
Dictyocha,0,NaN,0,0,0,1,0,NaN,0,0,0,0,0,1,0
Dictyocysta,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Didinium,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Dinobryon,0,NaN,0,0,0,1,0,NaN,0,0,0,0,0,1,0
Emiliania_huxleyi,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
Euglena,0,NaN,0,0,0,1,0,NaN,0,0,0,0,0,1,0
Euplotes,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Euplotes_morphotype1,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Eutintinnus,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Favella,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
fecal_pellet,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
fiber,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
fiber_TAG_external_detritus,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
flagellate,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
flagellate_morphotype1,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
flagellate_morphotype3,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
foraminifera,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Helicostomella_subulata,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Laboea_strobila,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Leegaardiella_ovalis,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Mesodinium,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
mix,0,NaN,0,0,0,0,1,NaN,0,0,0,0,0,1,0
Ophiaster,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
other,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Parvicorbicula_socialis,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Phaeocystis,0,NaN,0,0,0,0,0,1,0,0,0,0,0,1,0
Phaeocystis_single,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
Pleuronema,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
pollen,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,0,1
Pseudochattonella_farcimen,0,NaN,0,0,0,0,1,1,0,0,0,0,0,1,0
Pyramimonas,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Pyramimonas_longicauda,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Pyramimonas_morphotype1,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Radiozoa,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Rhabdosphaera,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
Richelia,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Stenosemella_morphotype1,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Stenosemella_pacifica,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strobilidium,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strobilidium_morphotype1,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_capitatum,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_conicum,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_inclinatum,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_morphotype1,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_morphotype2,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_oculatum,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Strombidium_wulffi,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Syracosphaera_pulchra,0,NaN,0,1,0,0,0,NaN,0,0,0,0,0,1,0
Tiarina_fusus,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tintinnida,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tintinnidium_mucicola,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tintinnopsis,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tontonia_appendiculariformis,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tontonia_gracillima,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
unknown1,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
unknown2,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
Vicicitus_globosus,0,NaN,0,0,0,1,0,NaN,0,0,0,0,0,1,0
zooplankton,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,0,1
Acantharia,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Amoeba,0,NaN,0,0,0,0,1,NaN,1,0,0,0,0,1,0
Bacillariophyceae_morphotype1,1,NaN,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacteria_colony,0,NaN,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Chaetoceros_morphotype1,1,NaN,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Ciliophora,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Cryptophyta,0,NaN,0,0,0,1,1,NaN,0,0,0,0,0,1,0
Cylindrotheca_morphotype1,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
detritus_transparent,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0
Dinophyceae_morphotype3,0,0,0,0,0,0,1,NaN,0,0,0,0,0,1,0
Foraminifera,0,0,0,0,0,0,0,NaN,1,0,0,0,0,1,0
Kryptoperidinium_triquetrum,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Lingulodinium_polyedra,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
nanoplankton_mix,0,0,0,0,0,0,1,NaN,0,0,0,0,0,1,0
Paratontonia_gracillima,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Pelagostrobilidium,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Phalacroma,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Prorocentrum_dentatum,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Rhabdolithes,0,0,0,1,0,0,0,NaN,0,0,0,0,0,1,0
Strombidium_tintinnodes,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tintinnina,0,NaN,0,0,1,0,0,NaN,0,0,0,0,0,1,0
Tripos,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Tripos_furca,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Tripos_fusus,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Tripos_lineatus,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Kryptoperidinium_triquetra_singlet_plan,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Kryptoperidinium_triquetra_singlet_section,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Kryptoperidinium_triquetra_TAG_doublet,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Trichodesmium,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Phaeocystis_debris,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Copepod_nauplii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fragilidinium,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
